Network Latency, State, Optimal Action, Shielded Action 
328.39,0,0,0
428.333,0,0,0
529.964,0,0,0
628.486,0,0,0
728.41,0,0,0
828.479,0,0,0
928.308,0,0,0
1028.3,0,0,0
1128.36,0,0,0
1228.32,0,0,0
1328.37,0,0,0
1428.37,0,0,0
1528.37,0,0,0
1628.74,0,0,0
1728.36,0,0,0
1828.72,0,0,0
1928.74,0,0,0
2028.36,0,0,0
2128.32,0,0,0
2228.37,0,0,0
2328.37,0,0,0
2428.33,0,0,0
2528.33,0,0,0
2628.33,0,0,0
2728.37,0,0,0
2828.36,0,0,0
2928.36,0,0,0
3028.36,0,0,0
3128.33,0,0,0
3228.37,0,0,0
3328.36,0,0,0
3428.38,0,0,0
3528.37,0,0,0
3628.36,0,0,0
3728.37,0,0,0
3828.73,0,0,0
3928.75,0,0,0
4028.33,0,0,0
4128.37,0,0,0
4228.37,0,0,0
4328.37,0,0,0
4428.78,0,0,0
4528.76,0,0,0
4628.75,0,0,0
4728.73,0,0,0
4828.77,0,0,0
4928.76,0,0,0
5028.74,0,0,0
5128.78,0,0,0
5228.76,0,0,0
5328.62,0,0,0
5428.69,0,0,0
5528.37,0,0,0
5628.36,0,0,0
5728.47,0,0,0
5828.36,0,0,0
5928.38,0,0,0
6028.38,0,0,0
6128.36,0,0,0
6228.36,0,0,0
6328.36,0,0,0
6428.38,0,0,0
6528.38,0,0,0
6628.36,0,0,0
6728.36,0,0,0
6828.36,0,0,0
6928.38,0,0,0
7028.38,0,0,0
7128.37,0,0,0
7228.37,0,0,0
7328.38,0,0,0
7428.37,0,0,0
7528.37,0,0,0
7628.75,0,0,0
7728.74,0,0,0
7828.76,0,0,0
7928.75,0,0,0
8028.76,0,0,0
8128.75,0,0,0
8228.37,0,0,0
8328.73,0,0,0
8428.75,0,0,0
8528.74,0,0,0
8628.73,0,0,0
8728.72,0,0,0
8828.74,0,0,0
8928.7,0,0,0
9028.74,0,0,0
9128.74,0,0,0
9228.36,0,0,0
9328.44,0,0,0
9428.43,0,0,0
9528.39,0,0,0
9628.73,0,0,0
9728.71,0,0,0
9828.73,0,0,0
9928.38,0,0,0
10028.8,0,0,0
10128.9,0,0,0
10228.9,0,0,0
10328.5,0,0,0
10428.4,0,0,0
10528.4,0,0,0
10628.4,0,0,0
10728.4,0,0,0
10828.4,0,0,0
10928.3,0,0,0
11028.4,0,0,0
11128.3,0,0,0
11228.4,0,0,0
11328.3,0,0,0
11428.4,0,0,0
11528.4,0,0,0
11628.4,0,0,0
11728.4,0,0,0
11828.4,0,0,0
11928.4,0,0,0
12028.3,0,0,0
12128.4,0,0,0
12228.4,0,0,0
12328.4,0,0,0
12428.4,0,0,0
12528.3,0,0,0
12628.4,0,0,0
12728.4,0,0,0
12828.4,0,0,0
12928.3,0,0,0
13028.4,0,0,0
13128.4,0,0,0
13228.4,0,0,0
13328.7,0,0,0
13428.7,0,0,0
13528.5,0,0,0
242.333,0.517289,0.2,0.2
244.129,0.527017,0.4,0.4
241.093,0.551956,0.6,0.6
240.562,0.562082,0.8,0.8
241.108,0.571638,1,1
238.742,0.559189,1,1
239.864,0.525261,1,1
241.05,0.463541,1,1
240.3,0.38216,1,1
240.797,0.293191,0.6,0.6
240.895,0.20374,0.2,0.2
240.135,0.120689,0.2,0.2
241.043,0.0298918,0,0
243.83,-0.0390585,0,0
240.596,-0.049182,0,0
240.57,-0.0163488,0,0
240.096,-0.00327061,0,0
239.569,0.0153555,0,0
239.606,0.0293326,0.2,0.2
238.583,0.0452913,0.2,0.2
239.985,0.058162,0.2,0.2
239.706,0.0796409,0.2,0.2
240.131,0.0900779,0.2,0.2
241.621,0.100851,0.4,0.4
240.282,0.100779,0.4,0.4
238.219,0.103167,0.4,0.4
240.188,0.0956341,0,0
239.847,0.0847258,0.2,0.2
239.898,0.0574284,0.2,0.2
239.559,0.0355411,0,0
240.553,0.0258241,0,0
242.265,0.0248165,0,0
241.025,0.0315369,0.2,0.2
239.305,0.0439689,0.2,0.2
240.083,0.0625359,0.2,0.2
240.291,0.0811484,0.2,0.2
239.595,0.105757,0.4,0.4
240.142,0.116145,0.4,0.4
238.992,0.122575,0.4,0.4
239.514,0.111487,0.4,0.4
239.427,0.099456,0,0
239.086,0.0802736,0.2,0.2
238.137,0.0524684,0.2,0.2
238.178,0.025186,0,0
238.467,0.00993396,0,0
238.668,0.018022,0,0
237.982,0.0229154,0,0
237.559,0.033619,0.2,0.2
237.737,0.0589526,0.2,0.2
237.636,0.0803104,0.2,0.2
237.134,0.0978462,0.2,0.2
237.056,0.110586,0.4,0.4
237.108,0.123866,0.4,0.4
236.825,0.135138,0.4,0.4
236.736,0.155166,0.4,0.4
236.549,0.172314,0.4,0.4
236.374,0.182499,0.4,0.4
236.176,0.189902,0.6,0.6
236.079,0.158307,0.6,0.6
285.42,0.13756,0.2,0.2
235.876,0.0964776,0.2,0.2
235.478,0.0466849,0.2,0.2
235.278,-0.0030769,0,0
234.862,-0.0418262,0,0
234.949,-0.0514423,0,0
234.173,-0.0367046,0,0
233.889,-0.0278861,0,0
233.498,-0.00717043,0,0
233.603,0.0118954,0,0
233.833,0.0375154,0.2,0.2
234.174,0.0602177,0.2,0.2
233.676,0.0814562,0.2,0.2
233.191,0.0929578,0.2,0.2
232.98,0.112148,0.4,0.4
232.449,0.126994,0.4,0.4
240.321,0.142731,0.4,0.4
232.666,0.160801,0.4,0.4
233.462,0.176367,0.4,0.4
233.519,0.191451,0.6,0.6
231.205,0.207511,0.6,0.6
233.547,0.201217,0.6,0.6
231.975,0.1794,0.6,0.6
231.685,0.156579,0.2,0.2
231.15,0.137825,0.2,0.2
230.186,0.141242,0.4,0.4
230.864,0.163654,0.4,0.4
230.659,0.214695,0.6,0.6
230.417,0.294952,0.8,0.8
230.294,0.363605,0.8,0.8
229.989,0.434456,1,1
229.832,0.475536,1,1
229.619,0.497814,1,1
229.431,0.517279,1,1
230.49,0.494992,1,1
229.198,0.438834,1,1
228.85,0.396923,1,1
228.948,0.365975,1,1
228.594,0.342851,1,1
228.216,0.344946,1,1
227.903,0.356755,1,1
227.864,0.349976,1,1
227.6,0.33608,1,1
227.653,0.322696,0.6,0.6
228.058,0.307,0.6,0.6
227.085,0.288227,0.8,0.8
226.79,0.265454,0.8,0.8
227.118,0.266295,0.8,0.8
226.148,0.273867,0.8,0.8
226.353,0.285607,0.8,0.8
226.004,0.289416,0.8,0.8
226.266,0.293789,0.8,0.8
225.681,0.291762,0.8,0.8
225.701,0.281336,0.8,0.8
225.385,0.275019,0.8,0.8
225.369,0.263878,0.8,0.8
224.923,0.243842,0.8,0.8
224.88,0.235592,0.4,0.4
224.19,0.227278,0.6,0.6
223.309,0.217459,0.6,0.6
224.348,0.210541,0.6,0.6
224.134,0.224755,0.6,0.6
223.867,0.246534,0.6,0.6
224.39,0.254332,0.6,0.6
223.513,0.267242,0.6,0.6
221.965,0.278866,0.6,0.6
224.116,0.282805,0.8,0.8
223.076,0.294402,0.8,0.8
221.905,0.293206,0.8,0.8
222.158,0.301903,0.8,0.8
219.467,0.294252,0.8,0.8
224.056,0.272957,0.8,0.8
221.981,0.256135,0.8,0.8
220.474,0.241593,0.8,0.8
219.96,0.211266,0.4,0.4
221.182,0.159894,0.4,0.4
220.835,0.121613,0.4,0.4
220.151,0.0787193,0,0
220.103,0.0710183,0.2,0.2
220.242,0.0769138,0.2,0.2
221.158,0.0879113,0.2,0.2
219.811,0.129901,0.4,0.4
219.598,0.190732,0.6,0.6
218.614,0.244874,0.6,0.6
218.508,0.292793,0.8,0.8
218.777,0.321446,0.8,0.8
218.613,0.320123,0.8,0.8
218.552,0.304898,0.8,0.8
218.273,0.247756,0.8,0.8
217.601,0.179716,0.4,0.4
218.804,0.116762,0,0
219.038,0.046921,0,0
220.695,0.0228945,0,0
218.345,0.0337541,0.2,0.2
217.722,0.0890865,0.4,0.4
216.307,0.153795,0.4,0.4
215.833,0.222923,0.6,0.6
215.788,0.290924,0.8,0.8
216.101,0.339475,0.8,0.8
215.488,0.353971,0.8,0.8
215.113,0.324855,0.8,0.8
215.028,0.268668,0.8,0.8
214.781,0.207058,0.4,0.4
214.403,0.144296,0.4,0.4
213.478,0.0853602,0,0
213.709,-0.0110426,0,0
213.554,-0.0699944,0,0
213.414,-0.0316638,0,0
212.685,-0.0331905,0,0
213.176,-0.0260222,0,0
214.615,-0.0262329,0,0
213.781,-0.0262983,0,0
213.993,-0.0331561,0,0
213.475,-0.0294691,0,0
213.648,-0.0331535,0,0
215.212,-0.0294603,0,0
212.471,-0.0288449,0,0
212.797,-0.0311547,0,0
212.157,-0.0250025,0,0
212.023,-0.0250919,0,0
212.042,-0.0303475,0,0
211.665,-0.0257909,0,0
212.79,-0.0285206,0,0
211.733,-0.0307825,0,0
211.867,-0.0281982,0,0
209.521,-0.0320097,0,0
209.759,-0.0288449,0,0
209.406,-0.0293566,0,0
