Network Latency, State, Optimal Action, Shielded Action 
339.398,0,0,0
440.711,0,0,0
539.427,0,0,0
639.428,0,0,0
739.476,0,0,0
839.435,0,0,0
939.312,0,0,0
1039.35,0,0,0
1139.36,0,0,0
1239.41,0,0,0
1339.36,0,0,0
1439.36,0,0,0
1540.1,0,0,0
1639.78,0,0,0
1739.31,0,0,0
1839.72,0,0,0
1939.35,0,0,0
2039.35,0,0,0
2139.36,0,0,0
2239.36,0,0,0
2339.37,0,0,0
2439.36,0,0,0
2539.36,0,0,0
2639.36,0,0,0
2739.36,0,0,0
2839.4,0,0,0
2939.4,0,0,0
3039.94,0,0,0
3139.36,0,0,0
3239.41,0,0,0
3339.36,0,0,0
3439.37,0,0,0
3539.37,0,0,0
3639.36,0,0,0
3739.37,0,0,0
3839.36,0,0,0
3939.37,0,0,0
4039.36,0,0,0
4139.76,0,0,0
4239.36,0,0,0
4339.38,0,0,0
4439.71,0,0,0
4539.42,0,0,0
4639.79,0,0,0
4739.39,0,0,0
4839.73,0,0,0
4939.82,0,0,0
5039.75,0,0,0
5139.91,0,0,0
5239.75,0,0,0
5339.75,0,0,0
5439.73,0,0,0
5539.88,0,0,0
5639.36,0,0,0
5739.34,0,0,0
5839.37,0,0,0
5939.37,0,0,0
6039.37,0,0,0
6139.39,0,0,0
6239.37,0,0,0
6339.36,0,0,0
6439.36,0,0,0
6539.47,0,0,0
6639.4,0,0,0
6739.36,0,0,0
6839.37,0,0,0
6939.37,0,0,0
7039.36,0,0,0
7139.53,0,0,0
7239.36,0,0,0
7339.37,0,0,0
7439.36,0,0,0
7539.36,0,0,0
7639.37,0,0,0
7739.67,0,0,0
7839.39,0,0,0
7939.37,0,0,0
8039.36,0,0,0
8139.38,0,0,0
8239.36,0,0,0
8339.37,0,0,0
8439.37,0,0,0
8539.41,0,0,0
8639.36,0,0,0
8739.36,0,0,0
8839.37,0,0,0
8939.79,0,0,0
9039.77,0,0,0
9139.78,0,0,0
9239.8,0,0,0
9339.92,0,0,0
9439.75,0,0,0
9539.75,0,0,0
9639.75,0,0,0
9739.72,0,0,0
9839.37,0,0,0
9939.52,0,0,0
10039.4,0,0,0
10139.9,0,0,0
10239.4,0,0,0
10339.8,0,0,0
10439.8,0,0,0
10539.4,0,0,0
10639.4,0,0,0
10739.4,0,0,0
10839.4,0,0,0
10939.4,0,0,0
11039.4,0,0,0
155.591,0.215662,0.2,0.2
154.927,0.213022,0.4,0.4
155.704,0.215777,0.6,0.6
156.062,0.221764,0.6,0.6
155.735,0.220342,0.6,0.6
156.082,0.217694,0.6,0.6
155.247,0.210497,0.6,0.6
154.634,0.162381,0.2,0.2
154.512,0.101368,0.2,0.2
154.231,0.0173907,0,0
153.307,-0.0452119,0,0
152.596,-0.0483248,0,0
153.391,-0.010555,0,0
152.936,0.031084,0.2,0.2
152.964,0.0772794,0.2,0.2
156.652,0.0919238,0.2,0.2
155.029,0.09472,0.2,0.2
155.46,0.0911929,0.2,0.2
155.963,0.0774338,0.2,0.2
157.574,0.0678753,0.2,0.2
154.563,0.0683858,0.2,0.2
151.501,0.0660256,0.2,0.2
152.623,0.10472,0.4,0.4
152.536,0.140045,0.4,0.4
154.123,0.164221,0.4,0.4
154.916,0.172436,0.4,0.4
153.214,0.134031,0.4,0.4
156.521,0.0920566,0,0
154.241,0.0402584,0,0
153.963,-0.0179988,0,0
153.174,-0.0587075,0,0
153.066,-0.051998,0,0
153.676,-0.0269291,0,0
153.61,0.0236992,0,0
152.047,0.0802246,0.2,0.2
152.037,0.121839,0.4,0.4
152.2,0.143804,0.4,0.4
152.175,0.15629,0.4,0.4
153.151,0.157241,0.4,0.4
153.893,0.145853,0.4,0.4
153.928,0.12432,0.4,0.4
153.003,0.0776776,0,0
151.332,0.0331685,0,0
151.503,-0.0215712,0,0
151.184,-0.0599228,0,0
150.765,-0.0693394,0,0
150.986,-0.0523458,0,0
152.728,-0.0515791,0,0
153.1,-0.0513489,0,0
152.376,-0.0572843,0,0
154.079,-0.0532258,0,0
152.457,-0.00976883,0,0
152.524,0.0482364,0.2,0.2
151.79,0.109793,0.4,0.4
152.347,0.152112,0.4,0.4
150.961,0.155989,0.4,0.4
152.579,0.145039,0.4,0.4
150.652,0.113421,0.4,0.4
153.808,0.0656907,0,0
152.399,0.0218763,0,0
151.762,-0.0220407,0,0
151.399,-0.0305855,0,0
153.753,0.0441213,0.2,0.2
152.138,0.14162,0.4,0.4
153.146,0.253155,0.6,0.6
154.622,0.345971,0.8,0.8
152.318,0.377544,1,1
150.207,0.385352,1,1
150.165,0.384739,1,1
150.393,0.319831,0.6,0.6
149.855,0.222676,0.6,0.6
149.929,0.105619,0,0
150.643,-0.00438373,0,0
149.648,-0.0895302,0,0
152.348,-0.114561,0,0
149.64,-0.0774628,0,0
149.488,-0.0597829,0,0
149.373,-0.0462327,0,0
149.96,-0.0362887,0,0
149.797,-0.0357867,0,0
150.789,0.0039602,0,0
148.624,0.103402,0.2,0.2
149.647,0.207191,0.4,0.4
149.205,0.309022,0.6,0.6
