Network Latency, State, Optimal Action, Shielded Action 
357.936,0,0,0
458.086,0,0,0
559.09,0,0,0
658.008,0,0,0
758.035,0,0,0
858.152,0,0,0
957.934,0,0,0
1058.02,0,0,0
1158.59,0,0,0
1257.92,0,0,0
1358.65,0,0,0
1457.94,0,0,0
1558.69,0,0,0
1658.09,0,0,0
1758.01,0,0,0
1858,0,0,0
1958.01,0,0,0
2057.92,0,0,0
2158.01,0,0,0
2258.08,0,0,0
2358.23,0,0,0
2458.14,0,0,0
2558.15,0,0,0
2658.05,0,0,0
2758.01,0,0,0
2858.12,0,0,0
2958.1,0,0,0
3058.07,0,0,0
3158,0,0,0
3258,0,0,0
3358.07,0,0,0
3458.07,0,0,0
3558.07,0,0,0
3657.99,0,0,0
3758.15,0,0,0
3858,0,0,0
3958.09,0,0,0
4058.07,0,0,0
4157.99,0,0,0
4258.08,0,0,0
4358.07,0,0,0
4458.07,0,0,0
4558.01,0,0,0
4658.01,0,0,0
4757.93,0,0,0
4857.99,0,0,0
4958.06,0,0,0
5058.22,0,0,0
5157.99,0,0,0
5258.19,0,0,0
5358.14,0,0,0
5458.08,0,0,0
5558.06,0,0,0
5658.05,0,0,0
5758.04,0,0,0
5858.05,0,0,0
5957.93,0,0,0
6058.2,0,0,0
6158.15,0,0,0
6258.09,0,0,0
6358.01,0,0,0
6458.09,0,0,0
6558.01,0,0,0
6658.02,0,0,0
6758.02,0,0,0
6858.02,0,0,0
6958.09,0,0,0
7058.05,0,0,0
7158.03,0,0,0
7258.02,0,0,0
7358.02,0,0,0
7458.1,0,0,0
7558.2,0,0,0
7658.02,0,0,0
7758.15,0,0,0
7858.02,0,0,0
7958.02,0,0,0
8058.17,0,0,0
8158.02,0,0,0
8258.1,0,0,0
8358.03,0,0,0
8458.02,0,0,0
8558.11,0,0,0
8658.02,0,0,0
8758.07,0,0,0
8858.08,0,0,0
8958.09,0,0,0
9058.01,0,0,0
9158.01,0,0,0
9258.02,0,0,0
9358.02,0,0,0
9458.08,0,0,0
9558.12,0,0,0
9658.02,0,0,0
9758.05,0,0,0
9858.1,0,0,0
9958.02,0,0,0
10058,0,0,0
10158.2,0,0,0
10258.3,0,0,0
10358,0,0,0
10458.1,0,0,0
10558.1,0,0,0
10658.1,0,0,0
10758,0,0,0
10858.1,0,0,0
10958.5,0,0,0
11058.2,0,0,0
154.018,0.457566,0.2,0.2
153.823,0.454549,0.4,0.4
153.661,0.452972,0.6,0.6
153.492,0.448993,0.8,0.8
152.835,0.451432,1,1
152.645,0.447819,1,1
153.127,0.445433,1,1
153.257,0.385177,1,1
152.576,0.285588,0.6,0.6
151.783,0.166562,0.2,0.2
151.932,0.0540651,0,0
151.736,-0.0469188,0,0
151.165,-0.0221075,0,0
151.547,0.00759847,0,0
151.351,0.0499873,0.2,0.2
151.134,0.0799257,0.2,0.2
150.702,0.0953975,0.2,0.2
151.02,0.127862,0.4,0.4
151.472,0.227824,0.6,0.6
151.417,0.325351,0.8,0.8
151.003,0.397888,1,1
151.312,0.446889,1,1
150.988,0.466993,1,1
151.237,0.472151,1,1
150.52,0.457887,1,1
150.631,0.459887,1,1
150.28,0.453962,1,1
150.426,0.4493,1,1
150.302,0.447888,1,1
149.968,0.442938,1,1
149.68,0.441308,1,1
149.888,0.431993,1,1
149.995,0.377489,1,1
149.867,0.287602,0.6,0.6
149.686,0.188634,0.2,0.2
149.757,0.088844,0.2,0.2
149.791,0.000893068,0,0
149.301,-0.0451462,0,0
149.212,-0.0303771,0,0
149.232,-0.0253053,0,0
148.869,-0.02301,0,0
149.598,-0.0317528,0,0
148.533,-0.0344978,0,0
148.663,-0.0355022,0,0
152.47,-0.0313969,0,0
153.947,-0.0305084,0,0
149.656,-0.0342498,0,0
148.973,-0.0299156,0,0
148.596,-0.027415,0,0
147.793,-0.0280279,0,0
149.611,-0.0299427,0,0
149.24,-0.0323135,0,0
149.059,-0.0137549,0,0
148.42,0.028391,0.2,0.2
148.313,0.0938906,0.4,0.4
148.505,0.162103,0.4,0.4
148.284,0.24069,0.6,0.6
148.578,0.30465,0.8,0.8
148.276,0.370953,1,1
148.393,0.410806,1,1
149.927,0.418687,1,1
148.851,0.381101,1,1
149.263,0.331958,1,1
150.147,0.2946,0.6,0.6
147.477,0.250457,0.6,0.6
147.731,0.211452,0.6,0.6
148.298,0.194378,0.6,0.6
147.68,0.192919,0.6,0.6
147.548,0.205236,0.6,0.6
148.074,0.217341,0.6,0.6
147.599,0.226891,0.6,0.6
147.849,0.235228,0.6,0.6
147.356,0.255541,0.6,0.6
147.388,0.283342,0.8,0.8
