Network Latency, State, Optimal Action, Shielded Action 
430.679970000,0,0,0
430.574397000,0,0,0
431.902669000,0,0,0
1.127128000,0,0,0
0.064511000,0,0,0
0.061024000,0,0,0
0.075264000,0,0,0
0.061216000,0,0,0
0.046464000,0,0,0
0.064255000,0,0,0
0.065311000,0,0,0
0.063359000,0,0,0
0.063999000,0,0,0
0.067135000,0,0,0
0.064832000,0,0,0
0.062048000,0,0,0
0.061536000,0,0,0
0.059327000,0,0,0
0.111391000,0,0,0
0.099103000,0,0,0
0.202782000,0,0,0
0.061759000,0,0,0
0.062847000,0,0,0
0.061792000,0,0,0
0.061664000,0,0,0
0.061856000,0,0,0
0.098208000,0,0,0
0.071040000,0,0,0
0.067455000,0,0,0
0.062048000,0,0,0
0.063840000,0,0,0
0.074271000,0,0,0
0.062048000,0,0,0
0.062528000,0,0,0
0.061056000,0,0,0
0.060000000,0,0,0
0.062624000,0,0,0
0.062943000,0,0,0
0.094016000,0,0,0
0.062047000,0,0,0
0.065247000,0,0,0
0.064063000,0,0,0
0.095232000,0,0,0
0.062943000,0,0,0
0.035104000,0,0,0
0.112703000,0,0,0
0.092575000,0,0,0
0.064896000,0,0,0
0.062463000,0,0,0
0.062048000,0,0,0
0.064224000,0,0,0
0.066207000,0,0,0
0.065696000,0,0,0
0.090943000,0,0,0
0.069375000,0,0,0
0.062400000,0,0,0
0.064959000,0,0,0
0.063519000,0,0,0
0.065248000,0,0,0
0.089984000,0,0,0
0.061952000,0,0,0
0.074912000,0,0,0
0.061951000,0,0,0
0.063328000,0,0,0
0.077087000,0,0,0
0.100191000,0,0,0
0.062431000,0,0,0
0.062176000,0,0,0
0.181919000,0,0,0
0.062239000,0,0,0
0.061535000,0,0,0
0.062144000,0,0,0
0.065567000,0,0,0
0.061695000,0,0,0
0.062079000,0,0,0
0.062303000,0,0,0
0.063487000,0,0,0
0.075871000,0,0,0
0.072159000,0,0,0
0.061759000,0,0,0
0.062783000,0,0,0
0.061280000,0,0,0
0.064191000,0,0,0
0.062847000,0,0,0
0.071231000,0,0,0
0.062656000,0,0,0
0.061952000,0,0,0
0.063327000,0,0,0
0.086367000,0,0,0
0.092576000,0,0,0
0.062207000,0,0,0
0.061824000,0,0,0
0.061375000,0,0,0
0.061984000,0,0,0
0.081407000,0,0,0
0.048032000,0,0,0
0.063807000,0,0,0
0.088159000,0,0,0
0.060480000,0,0,0
0.093599000,0,0,0
0.061279000,0,0,0
0.072576000,0,0,0
0.063647000,0,0,0
0.076543000,0,0,0
0.065055000,0,0,0
0.198175000,0,0,0
0.278910000,0,0,0
0.069407000,0,0,0
350.898592000,1.63117,0.2,0.2
404.283609000,1.62952,0.4,0.4
447.665664000,1.61835,0.6,0.6
448.146936000,1.63232,0.8,0
448.943121000,1.62818,0.2,0.2
448.040343000,1.63517,0.4,0.4
446.459300000,1.62618,0.6,0
446.662467000,1.60496,0.2,0.2
447.334846000,1.55348,0.4,0.4
445.720138000,1.51214,0.6,0.6
447.878165000,1.48396,0.8,0
443.851825000,1.4552,0.2,0
444.568039000,1.44201,0.2,0
444.786817000,1.42845,0.2,0
445.116605000,1.39539,0.2,0
444.531714000,1.33739,0.2,0
444.771712000,1.29828,0.2,0
443.994886000,1.29545,0.2,0
443.143629000,1.29464,0.2,0
443.791816000,1.33083,0.2,0
443.592741000,1.42565,0.2,0
443.601793000,1.53274,0.2,0.2
443.517181000,1.63987,0.4,0.4
443.530361000,1.74604,0.6,0.6
443.036828000,1.83445,0.8,0
442.973981000,1.92244,0.2,0.2
442.881405000,2.02183,0.4,0.4
442.790398000,2.09364,0.6,0.6
442.957149000,2.16774,0.8,0.8
442.556480000,2.20958,1,1
442.094368000,2.25551,1,1
442.645495000,2.32579,1,1
442.098327000,2.38769,1,1
442.365137000,2.43362,1,1
442.070547000,2.4454,1,1
442.238449000,2.42735,1,1
440.754942000,2.39493,1,1
441.691158000,2.30402,1,1
441.599894000,2.20413,1,1
439.716197000,2.10672,1,1
441.249045000,1.98883,1,0
440.891764000,1.89368,0.2,0
441.191437000,1.78096,0.2,0
440.353713000,1.67983,0.2,0.2
440.556110000,1.58251,0.4,0.4
439.736980000,1.48069,0.6,0
439.910355000,1.39293,0.2,0
440.368815000,1.36592,0.2,0
439.886258000,1.36704,0.2,0
439.953298000,1.36139,0.2,0
438.202173000,1.35397,0.2,0
439.832331000,1.35734,0.2,0
438.976559000,1.35972,0.2,0
439.493542000,1.36437,0.2,0
440.409597000,1.35393,0.2,0
440.032320000,1.36306,0.2,0
439.312103000,1.39276,0.2,0
439.327335000,1.47417,0.2,0
439.549861000,1.56502,0.2,0.2
438.276175000,1.65134,0.4,0.4
438.825287000,1.73423,0.6,0.6
437.329775000,1.81408,0.8,0
439.883830000,1.89,0.2,0.2
438.270303000,1.96817,0.4,0.4
438.528124000,2.03821,0.6,0.6
437.567012000,2.10753,0.8,0.8
437.568100000,2.17685,1,1
439.492116000,2.2366,1,1
437.788483000,2.29843,1,1
437.881666000,2.35996,1,1
437.383042000,2.39936,1,1
438.821874000,2.41692,1,1
435.878598000,2.36909,1,1
436.092672000,2.31144,1,1
437.313685000,2.2304,1,1
436.821433000,2.16567,1,1
436.693371000,2.09818,1,1
436.819705000,2.03758,1,1
436.728539000,1.95523,1,0
436.634779000,1.89481,0.2,0
435.868734000,1.80702,0.2,0
435.262878000,1.74044,0.2,0.2
436.496624000,1.65476,0.4,0.4
435.672851000,1.59355,0.6,0.6
436.336397000,1.53926,0.8,0
435.963056000,1.56137,0.2,0.2
435.928144000,1.59112,0.4,0.4
435.050999000,1.62384,0.6,0
435.365621000,1.66514,0.2,0.2
435.402932000,1.70153,0.4,0.4
438.775861000,1.7513,0.6,0.6
437.352349000,1.77141,0.8,0
439.329385000,1.8155,0.2,0.2
439.241285000,1.85496,0.4,0.4
436.427196000,1.87794,0.6,0
434.663275000,1.91681,0.2,0.2
434.687498000,1.96066,0.4,0.4
434.451436000,2.00222,0.6,0.6
434.629547000,2.03059,0.8,0.8
434.171151000,2.0679,1,1
434.174059000,2.10572,1,1
434.075592000,2.14742,1,1
434.012324000,2.18409,1,1
433.776803000,2.22062,1,1
433.693762000,2.24959,1,1
433.251526000,2.21162,1,1
433.004456000,2.15811,1,1
432.728010000,2.06244,1,1
432.815242000,1.96198,1,0
432.777513000,1.88448,0.2,0
432.385706000,1.79573,0.2,0
432.214535000,1.71878,0.2,0.2
431.769223000,1.66233,0.4,0.4
431.606501000,1.58098,0.6,0.6
431.588964000,1.53738,0.8,0
431.184359000,1.54584,0.2,0.2
429.860786000,1.58156,0.4,0.4
430.996489000,1.62634,0.6,0
430.937770000,1.67383,0.2,0.2
430.105648000,1.711,0.4,0.4
430.429610000,1.73452,0.6,0.6
429.720044000,1.75898,0.8,0
430.251652000,1.75398,0.2,0.2
430.029986000,1.7533,0.4,0.4
429.694116000,1.7523,0.6,0
429.626885000,1.72892,0.2,0.2
429.339655000,1.67733,0.4,0.4
429.225704000,1.64183,0.6,0.6
428.447726000,1.61693,0.8,0
428.269168000,1.58855,0.2,0.2
427.719889000,1.56656,0.4,0.4
428.357127000,1.55984,0.6,0
427.600810000,1.52498,0.2,0.2
427.647718000,1.478,0.4,0
427.610726000,1.43395,0.2,0
