State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
13.0849,0.4,0.4
19.475,0.8,0.8
19.395,0.8,0.8
19.355,0.8,0.8
12.7949,0.8,0.8
12.7489,0.8,0.8
19.355,0.8,0.8
12.6119,0.8,0.8
12.5049,0.8,0.8
12.3859,0.8,0.8
12.2899,0.8,0.8
19.355,0.8,0.8
19.355,0.8,0.8
7.86702,0.8,0.8
4.50018,0.8,0.8
2.93256,0.8,0.8
2.05926,0.8,0.8
1.51011,0.8,0
1.18947,0.4,0
1.02347,0.4,0
0.883748,0.4,0
0.774949,0.4,0
0.729021,0.4,0
0.804333,0.4,0
-0.189789,0,0
1.03336,0.4,0
1.67708,0.4,0.4
2.49511,0.8,0.8
4.16664,0.8,0.8
19.355,0.8,0.8
10.4643,0.8,0.8
5.44398,0.8,0.8
3.81894,0.8,0.8
2.77199,0.8,0.8
2.52662,0.8,0.8
2.37112,0.8,0.8
