State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.84696,0.4,0.4
2.8467,0.8,0.8
2.84739,0.8,0.8
2.84216,0.8,0.8
2.85912,0.8,0.8
2.81321,0.8,0.8
2.73336,0.8,0.8
2.63474,0.8,0.8
2.52813,0.8,0.8
2.41695,0.8,0.8
2.32979,0.8,0.8
2.22907,0.8,0.8
2.1453,0.8,0.8
2.05854,0.8,0.8
1.95852,0.8,0
1.87256,0.4,0.4
1.77862,0.8,0.8
1.72607,0.8,0.8
1.67095,0.8,0.8
1.60161,0.8,0
1.51424,0.4,0.4
1.42891,0.8,0
1.36945,0.4,0
1.32456,0.4,0
1.31444,0.4,0
1.31101,0.4,0
1.31399,0.4,0
1.32392,0.4,0
1.32684,0.4,0
1.32486,0.4,0
1.32157,0.4,0
1.32987,0.4,0
1.33243,0.4,0
1.31763,0.4,0
1.32392,0.4,0
1.32784,0.4,0
