State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.969499,0.4,0.4
0.960141,0.8,0.8
0.970493,0.8,0.8
0.971868,0.8,0.8
0.957716,0.8,0.8
0.961547,0.8,0.8
0.969092,0.8,0.8
0.961547,0.8,0.8
0.973475,0.8,0.8
0.965114,0.8,0.8
0.960701,0.8,0.8
0.975059,0.8,0.8
0.961236,0.8,0.8
0.971645,0.8,0.8
0.96213,0.8,0.8
0.958152,0.8,0.8
0.957716,0.8,0.8
0.966671,0.8,0.8
0.969655,0.8,0.8
0.959559,0.8,0.8
0.972481,0.8,0.8
0.969092,0.8,0.8
0.970493,0.8,0.8
0.961136,0.8,0.8
0.976458,0.8,0.8
0.968098,0.8,0.8
0.959147,0.8,0.8
0.960141,0.8,0.8
0.965114,0.8,0.8
0.976054,0.8,0.8
0.979037,0.8,0.8
