State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.35742,0.4,0
4.36441,0.4,0
4.3674,0.4,0
4.36241,0.4,0
4.35742,0.4,0
4.35917,0.4,0
4.36441,0.4,0
4.35917,0.4,0
4.36541,0.4,0
4.35242,0.4,0
4.35883,0.4,0
4.36829,0.4,0
4.36789,0.4,0
4.35442,0.4,0
4.35942,0.4,0
4.35983,0.4,0
4.36341,0.4,0
4.36289,0.4,0
4.36441,0.4,0
4.3684,0.4,0
4.36441,0.4,0
4.36629,0.4,0
4.36683,0.4,0
4.35842,0.4,0
4.36616,0.4,0
4.35917,0.4,0
4.35542,0.4,0
4.35942,0.4,0
4.35842,0.4,0
4.36283,0.4,0
4.36341,0.4,0
4.37083,0.4,0
4.36441,0.4,0
4.36983,0.4,0
4.36441,0.4,0
4.36217,0.4,0
4.36641,0.4,0
4.37141,0.4,0
4.35442,0.4,0
4.36041,0.4,0
4.35442,0.4,0
4.36089,0.4,0
4.35817,0.4,0
4.36283,0.4,0
4.36341,0.4,0
4.35917,0.4,0
4.35942,0.4,0
4.35983,0.4,0
4.35817,0.4,0
4.35942,0.4,0
4.36117,0.4,0
4.35217,0.4,0
4.36183,0.4,0
4.36017,0.4,0
4.35217,0.4,0
4.36683,0.4,0
4.36241,0.4,0
4.36217,0.4,0
4.36383,0.4,0
4.35242,0.4,0
4.35742,0.4,0
4.36441,0.4,0
4.36217,0.4,0
4.36217,0.4,0
4.36042,0.4,0
4.36117,0.4,0
4.36042,0.4,0
4.35942,0.4,0
4.35883,0.4,0
4.36983,0.4,0
4.35817,0.4,0
4.36041,0.4,0
4.35742,0.4,0
4.35942,0.4,0
4.36141,0.4,0
4.36241,0.4,0
4.36141,0.4,0
4.35917,0.4,0
4.35942,0.4,0
4.37141,0.4,0
4.36441,0.4,0
4.36583,0.4,0
4.36341,0.4,0
4.37029,0.4,0
4.36341,0.4,0
4.36541,0.4,0
4.35917,0.4,0
4.36541,0.4,0
4.36529,0.4,0
4.35842,0.4,0
4.36683,0.4,0
4.36541,0.4,0
4.36141,0.4,0
4.36117,0.4,0
4.35942,0.4,0
4.36141,0.4,0
4.35742,0.4,0
4.36042,0.4,0
4.35242,0.4,0
4.36441,0.4,0
4.36117,0.4,0
4.35242,0.4,0
4.36189,0.4,0
4.36141,0.4,0
4.35742,0.4,0
4.36616,0.4,0
4.35242,0.4,0
