State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.74565,0.4,0.4
4.74028,0.8,0.8
4.74312,0.8,0.8
4.74194,0.8,0.8
4.73413,0.8,0.8
4.70415,0.8,0.8
4.6342,0.8,0.8
4.55026,0.8,0.8
4.44587,0.8,0.8
4.35142,0.8,0.8
4.25168,0.8,0.8
4.15194,0.8,0.8
4.05686,0.8,0.8
3.96595,0.8,0.8
3.87657,0.8,0.8
3.7933,0.8,0.8
3.69664,0.8,0.8
3.60367,0.8,0.8
3.50963,0.8,0.8
3.42291,0.8,0.8
3.34003,0.8,0.8
3.24715,0.8,0.8
3.15903,0.8,0.8
3.07059,0.8,0.8
2.98322,0.8,0.8
2.91032,0.8,0.8
2.81861,0.8,0.8
2.72853,0.8,0.8
2.64372,0.8,0.8
2.55806,0.8,0.8
2.47227,0.8,0.8
2.38149,0.8,0.8
2.30815,0.8,0.8
2.22088,0.8,0.8
