State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.966671,0.4,0.4
0.963535,0.8,0.8
0.972481,0.8,0.8
0.958565,0.8,0.8
0.974065,0.8,0.8
0.974065,0.8,0.8
0.971081,0.8,0.8
0.971081,0.8,0.8
0.97944,0.8,0.8
0.957158,0.8,0.8
0.972481,0.8,0.8
0.960141,0.8,0.8
0.95318,0.8,0.8
0.965218,0.8,0.8
0.968505,0.8,0.8
0.972185,0.8,0.8
0.966213,0.8,0.8
0.978823,0.8,0.8
0.973635,0.8,0.8
0.966671,0.8,0.8
0.967103,0.8,0.8
0.955169,0.8,0.8
0.965675,0.8,0.8
0.966671,0.8,0.8
0.96213,0.8,0.8
0.95825,0.8,0.8
0.957716,0.8,0.8
0.960241,0.8,0.8
0.977452,0.8,0.8
0.965114,0.8,0.8
0.95318,0.8,0.8
0.960141,0.8,0.8
0.959706,0.8,0.8
0.969092,0.8,0.8
0.96412,0.8,0.8
0.962541,0.8,0.8
0.974849,0.8,0.8
0.966517,0.8,0.8
0.965675,0.8,0.8
0.963125,0.8,0.8
0.967103,0.8,0.8
0.966109,0.8,0.8
0.967894,0.8,0.8
0.972481,0.8,0.8
0.957158,0.8,0.8
0.964681,0.8,0.8
0.949618,0.8,0.8
0.96866,0.8,0.8
0.960701,0.8,0.8
0.97307,0.8,0.8
0.958711,0.8,0.8
0.964529,0.8,0.8
0.966671,0.8,0.8
0.954731,0.8,0.8
0.975059,0.8,0.8
0.970087,0.8,0.8
0.967665,0.8,0.8
0.964681,0.8,0.8
0.966109,0.8,0.8
0.963686,0.8,0.8
0.975059,0.8,0.8
0.965114,0.8,0.8
0.967103,0.8,0.8
0.968505,0.8,0.8
0.967103,0.8,0.8
0.969199,0.8,0.8
0.963125,0.8,0.8
0.971645,0.8,0.8
0.965114,0.8,0.8
0.973635,0.8,0.8
0.963686,0.8,0.8
0.969655,0.8,0.8
0.97065,0.8,0.8
0.960141,0.8,0.8
0.956163,0.8,0.8
0.969499,0.8,0.8
0.965523,0.8,0.8
0.965114,0.8,0.8
0.974065,0.8,0.8
0.973475,0.8,0.8
0.958152,0.8,0.8
0.979153,0.8,0.8
