State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.91683,0.2,0.2
4.92521,0.4,0.4
4.92582,0.6,0.6
4.91957,0.8,0.8
4.92657,1,1
4.9258,1,1
4.92521,1,1
4.92521,1,1
4.91922,1,1
4.91883,1,1
4.929,1,1
4.92076,1,1
4.92076,1,1
4.92057,1,1
4.92283,1,1
4.91983,1,1
4.92183,1,1
4.91522,1,1
4.92183,1,1
4.92221,1,1
4.92321,1,1
4.92921,1,1
4.93057,1,1
4.91957,1,1
4.92682,1,1
4.92321,1,1
4.93221,1,1
4.92083,1,1
4.92382,1,1
4.92557,1,1
4.93182,1,1
4.92283,1,1
4.92821,1,1
4.92657,1,1
4.92621,1,1
4.91657,1,1
4.91583,1,1
4.92557,1,1
4.92283,1,1
4.92221,1,1
4.92882,1,1
4.92221,1,1
4.9318,1,1
4.92757,1,1
4.92122,1,1
4.92482,1,1
4.92455,1,1
4.92895,1,1
4.92022,1,1
4.91857,1,1
4.92482,1,1
4.92283,1,1
4.92057,1,1
4.91976,1,1
4.92482,1,1
4.92657,1,1
4.92083,1,1
4.92157,1,1
