State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.44035,0.4,0.4
2.44733,0.8,0.8
2.45132,0.8,0.8
2.44733,0.8,0.8
2.45431,0.8,0.8
2.43635,0.8,0.8
2.45132,0.8,0.8
2.43735,0.8,0.8
2.44932,0.8,0.8
2.44035,0.8,0.8
2.44833,0.8,0.8
2.44035,0.8,0.8
2.45531,0.8,0.8
2.44533,0.8,0.8
2.44733,0.8,0.8
2.45431,0.8,0.8
2.44434,0.8,0.8
2.45331,0.8,0.8
2.44833,0.8,0.8
2.44733,0.8,0.8
2.44833,0.8,0.8
2.44533,0.8,0.8
2.44833,0.8,0.8
2.45132,0.8,0.8
2.45132,0.8,0.8
2.44932,0.8,0.8
2.45531,0.8,0.8
2.44134,0.8,0.8
2.43635,0.8,0.8
2.45331,0.8,0.8
2.44833,0.8,0.8
2.43935,0.8,0.8
2.45132,0.8,0.8
2.45032,0.8,0.8
2.44533,0.8,0.8
2.44234,0.8,0.8
2.44334,0.8,0.8
2.44633,0.8,0.8
2.45132,0.8,0.8
2.45032,0.8,0.8
2.45132,0.8,0.8
2.44833,0.8,0.8
2.44234,0.8,0.8
2.44733,0.8,0.8
2.44633,0.8,0.8
2.43935,0.8,0.8
