State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.733,0.4,0
1.774,0.4,0
1.752,0.4,0
1.76292,0.4,0
1.751,0.4,0
1.75098,0.4,0
1.73198,0.4,0
1.778,0.4,0
1.74698,0.4,0
1.72998,0.4,0
1.76,0.4,0
1.773,0.4,0
1.752,0.4,0
1.73298,0.4,0
1.75,0.4,0
1.768,0.4,0
1.74898,0.4,0
1.736,0.4,0
1.746,0.4,0
1.788,0.4,0
1.73498,0.4,0
1.776,0.4,0
1.73398,0.4,0
1.759,0.4,0
1.73698,0.4,0
1.81198,0.4,0
1.738,0.4,0
1.803,0.4,0
1.794,0.4,0
1.74498,0.4,0
1.75,0.4,0
1.755,0.4,0
1.759,0.4,0
1.75698,0.4,0
1.75,0.4,0
1.73698,0.4,0
1.74998,0.4,0
1.753,0.4,0
1.788,0.4,0
1.754,0.4,0
1.756,0.4,0
1.749,0.4,0
