State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.18133,0.4,0.4
3.1767,0.8,0.8
3.17371,0.8,0.8
3.18569,0.8,0.8
3.17201,0.8,0.8
3.1807,0.8,0.8
3.1827,0.8,0.8
3.1827,0.8,0.8
3.1767,0.8,0.8
3.17325,0.8,0.8
2.67066,0.8,0.8
3.18669,0.8,0.8
3.18669,0.8,0.8
2.73352,0.8,0.8
2.75747,0.8,0.8
3.10838,0.8,0.8
3.02346,0.8,0.8
2.91661,0.8,0.8
2.82573,0.8,0.8
2.72515,0.8,0.8
2.65968,0.8,0.8
2.56903,0.8,0.8
2.49903,0.8,0.8
2.40244,0.8,0.8
2.31184,0.8,0.8
2.21228,0.8,0.8
4.74212,0.8,0.8
4.66518,0.8,0.8
4.11133,0.8,0.8
4.00069,0.8,0.8
3.93243,0.8,0.8
3.85507,0.8,0.8
3.76153,0.8,0.8
3.66096,0.8,0.8
3.56556,0.8,0.8
3.47167,0.8,0.8
3.38696,0.8,0.8
3.29509,0.8,0.8
3.2092,0.8,0.8
3.10754,0.8,0.8
8.73085,0.8,0.8
8.69091,0.8,0.8
