State, Optimal Action, Shielded Action 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3.26687,0.4,0.4
3.08487,0.8,0.8
3.15186,0.8,0.8
3.38385,0.8,0.8
3.30396,0.8,0.8
2.95148,0.8,0.8
3.12886,0.8,0.8
3.23986,0.8,0.8
3.11186,0.8,0.8
3.11086,0.8,0.8
2.90071,0.8,0.8
3.33296,0.8,0.8
2.87772,0.8,0.8
2.87972,0.8,0.8
2.89171,0.8,0.8
3.13469,0.8,0.8
2.89071,0.8,0.8
3.14486,0.8,0.8
3.29196,0.8,0.8
3.13069,0.8,0.8
2.92649,0.8,0.8
3.13386,0.8,0.8
3.17286,0.8,0.8
3.10886,0.8,0.8
3.10286,0.8,0.8
3.12386,0.8,0.8
3.14786,0.8,0.8
2.92049,0.8,0.8
3.13086,0.8,0.8
3.24686,0.8,0.8
3.22586,0.8,0.8
3.05287,0.8,0.8
3.09087,0.8,0.8
3.15786,0.8,0.8
