Network Latency, State, Optimal Action, Shielded Action 
436.73,0,0,0
536.712,0,0,0
637.256,0,0,0
736.69,0,0,0
836.682,0,0,0
936.682,0,0,0
1036.69,0,0,0
1136.69,0,0,0
1236.67,0,0,0
1336.65,0,0,0
1436.66,0,0,0
1536.67,0,0,0
1636.8,0,0,0
1736.75,0,0,0
1836.71,0,0,0
1936.8,0,0,0
2036.81,0,0,0
2136.81,0,0,0
2236.79,0,0,0
2336.81,0,0,0
2436.67,0,0,0
2536.82,0,0,0
2636.69,0,0,0
2736.75,0,0,0
2836.78,0,0,0
2936.82,0,0,0
3036.84,0,0,0
3136.78,0,0,0
3236.74,0,0,0
3336.69,0,0,0
3436.67,0,0,0
3536.69,0,0,0
3636.8,0,0,0
3736.7,0,0,0
3836.74,0,0,0
3936.73,0,0,0
4036.68,0,0,0
4136.8,0,0,0
4236.73,0,0,0
4336.71,0,0,0
4436.69,0,0,0
4536.69,0,0,0
4636.71,0,0,0
4736.69,0,0,0
4836.69,0,0,0
4936.74,0,0,0
5036.71,0,0,0
5136.67,0,0,0
5236.66,0,0,0
5336.72,0,0,0
5436.72,0,0,0
5536.73,0,0,0
5636.75,0,0,0
5736.66,0,0,0
5836.96,0,0,0
5936.73,0,0,0
6036.69,0,0,0
6136.75,0,0,0
6236.75,0,0,0
6336.68,0,0,0
6436.66,0,0,0
6536.72,0,0,0
6636.85,0,0,0
6736.77,0,0,0
6836.81,0,0,0
6936.69,0,0,0
7036.67,0,0,0
7136.97,0,0,0
7236.68,0,0,0
7336.7,0,0,0
7436.68,0,0,0
7537.07,0,0,0
7636.99,0,0,0
7736.73,0,0,0
7836.68,0,0,0
7936.66,0,0,0
8036.68,0,0,0
8136.76,0,0,0
8236.74,0,0,0
8336.77,0,0,0
8436.79,0,0,0
8536.72,0,0,0
8636.76,0,0,0
8736.86,0,0,0
8837.02,0,0,0
8936.84,0,0,0
9036.82,0,0,0
9136.8,0,0,0
9236.79,0,0,0
9336.78,0,0,0
9436.72,0,0,0
9536.77,0,0,0
9636.69,0,0,0
9736.68,0,0,0
119.607,1.91463,0.2,0.2
118.472,1.9146,0.4,0.4
118.486,1.92257,0.6,0.6
117.892,1.91741,0.8,0.8
118.039,1.9214,1,1
118.448,1.91493,1,0
117.762,1.87197,0.2,0.2
117.749,1.76437,0.4,0.4
117.964,1.67375,0.6,0.6
117.56,1.62043,0.8,0.8
117.736,1.56942,1,1
117.476,1.5186,1,0
117.19,1.43928,0.2,0
116.874,1.32675,0.2,0
116.9,1.23829,0.2,0
116.406,1.2107,0.2,0
116.716,1.19614,0.2,0
116.631,1.20499,0.2,0
116.588,1.20361,0.2,0
116.534,1.20771,0.2,0
116.322,1.21184,0.2,0
113.863,1.21337,0.2,0
115.77,1.20672,0.2,0
116.1,1.23815,0.2,0
115.813,1.27909,0.2,0
115.535,1.32292,0.2,0
115.754,1.35936,0.2,0
115.506,1.3992,0.2,0
115.347,1.43369,0.2,0
115.194,1.46418,0.2,0
117.754,1.48919,0.2,0
115.295,1.5176,0.2,0.2
114.628,1.5437,0.4,0.4
114.499,1.55398,0.6,0.6
114.144,1.56023,0.8,0.8
114.18,1.55293,1,1
114.449,1.55431,1,0
113.942,1.53954,0.2,0.2
113.521,1.47459,0.4,0
