Network Latency, State, Optimal Action, Shielded Action 
344.625,0,0,0
444.622,0,0,0
544.995,0,0,0
644.711,0,0,0
744.636,0,0,0
844.591,0,0,0
944.652,0,0,0
1044.57,0,0,0
1144.62,0,0,0
1245.02,0,0,0
1344.58,0,0,0
1444.59,0,0,0
1544.6,0,0,0
1644.59,0,0,0
1744.6,0,0,0
1844.59,0,0,0
1944.6,0,0,0
2044.7,0,0,0
2144.62,0,0,0
2244.59,0,0,0
2344.61,0,0,0
2444.59,0,0,0
2544.6,0,0,0
2644.62,0,0,0
2744.63,0,0,0
2844.6,0,0,0
2944.6,0,0,0
3044.6,0,0,0
3144.6,0,0,0
3244.6,0,0,0
3344.63,0,0,0
3444.61,0,0,0
3544.6,0,0,0
3644.99,0,0,0
3744.6,0,0,0
3844.61,0,0,0
3944.6,0,0,0
4044.6,0,0,0
4144.61,0,0,0
4244.6,0,0,0
4344.6,0,0,0
4444.59,0,0,0
4544.59,0,0,0
4644.62,0,0,0
4744.6,0,0,0
4844.59,0,0,0
4944.6,0,0,0
5044.62,0,0,0
5144.6,0,0,0
5244.61,0,0,0
5344.6,0,0,0
5444.6,0,0,0
5544.6,0,0,0
5644.6,0,0,0
5745,0,0,0
5844.99,0,0,0
5945,0,0,0
6045.02,0,0,0
6144.96,0,0,0
6244.99,0,0,0
6344.98,0,0,0
6444.98,0,0,0
6545.01,0,0,0
6645.18,0,0,0
6745.16,0,0,0
6844.59,0,0,0
6944.59,0,0,0
7044.93,0,0,0
7144.97,0,0,0
7244.98,0,0,0
7344.96,0,0,0
7444.96,0,0,0
7544.96,0,0,0
7645.05,0,0,0
7744.84,0,0,0
7845.04,0,0,0
7944.59,0,0,0
8044.97,0,0,0
8144.95,0,0,0
8244.62,0,0,0
8344.6,0,0,0
8444.59,0,0,0
8544.96,0,0,0
8644.95,0,0,0
8744.64,0,0,0
8844.59,0,0,0
8944.59,0,0,0
9044.59,0,0,0
9144.6,0,0,0
9244.59,0,0,0
9344.59,0,0,0
9444.59,0,0,0
9544.59,0,0,0
9644.6,0,0,0
9744.6,0,0,0
9844.6,0,0,0
9944.59,0,0,0
10045,0,0,0
10145,0,0,0
10245,0,0,0
10345,0,0,0
10445,0,0,0
10545,0,0,0
10644.9,0,0,0
10744.9,0,0,0
10844.9,0,0,0
71.8927,1.80539,0.2,0.2
70.7932,1.82728,0.4,0.4
71.4289,1.85627,0.6,0.6
71.2245,1.87649,0.8,0.8
70.3197,1.88732,1,1
71.281,1.90967,1,1
71.007,1.91046,1,1
70.7644,1.84208,1,1
69.9038,1.74866,1,1
69.6879,1.64871,1,1
70.0679,1.54289,1,1
69.9052,1.43698,1,0
69.6451,1.33278,0.2,0
69.5953,1.23129,0.2,0.2
69.5029,1.18187,0.4,0.4
69.7302,1.18199,0.6,0
69.4243,1.17899,0.2,0.2
69.4003,1.17094,0.4,0.4
69.371,1.17132,0.6,0
69.9113,1.169,0.2,0.2
69.3266,1.16961,0.4,0.4
69.3891,1.18165,0.6,0
69.7284,1.17899,0.2,0.2
69.1414,1.16733,0.4,0.4
69.1529,1.16401,0.6,0
69.1623,1.16665,0.2,0.2
69.4954,1.16212,0.4,0.4
68.9371,1.16588,0.6,0
68.9316,1.16565,0.2,0.2
68.58,1.15035,0.4,0.4
68.7842,1.15995,0.6,0
69.2421,1.17964,0.2,0.2
67.7507,1.211,0.4,0.4
69.0069,1.29876,0.6,0
68.5271,1.3934,0.2,0.2
68.2656,1.47293,0.4,0.4
67.8117,1.56156,0.6,0.6
67.2818,1.65182,0.8,0.8
67.5515,1.71709,1,1
67.8768,1.75243,1,1
68.0455,1.7463,1,1
67.7999,1.66314,1,1
67.6453,1.55456,1,1
67.8322,1.45819,1,0
67.4127,1.34795,0.2,0
67.2605,1.24107,0.2,0.2
67.6929,1.18187,0.4,0.4
67.5293,1.16701,0.6,0
66.2346,1.14404,0.2,0.2
67.5483,1.12488,0.4,0.4
66.3574,1.11415,0.6,0
67.4402,1.10776,0.2,0.2
