Network Latency, State, Optimal Action, Shielded Action 
392.774,0,0,0
492.498,0,0,0
592.648,0,0,0
692.461,0,0,0
792.47,0,0,0
892.467,0,0,0
992.467,0,0,0
1092.47,0,0,0
1192.48,0,0,0
1292.49,0,0,0
1392.62,0,0,0
1492.49,0,0,0
1592.47,0,0,0
1692.47,0,0,0
1792.48,0,0,0
1892.48,0,0,0
1992.47,0,0,0
2092.47,0,0,0
2192.49,0,0,0
2292.46,0,0,0
2393.71,0,0,0
2492.66,0,0,0
2592.52,0,0,0
2692.56,0,0,0
2792.56,0,0,0
2892.6,0,0,0
2992.48,0,0,0
3092.64,0,0,0
3192.51,0,0,0
3292.8,0,0,0
3392.47,0,0,0
3492.47,0,0,0
3592.79,0,0,0
3692.47,0,0,0
3792.46,0,0,0
3892.55,0,0,0
3992.72,0,0,0
4092.57,0,0,0
4192.55,0,0,0
4292.51,0,0,0
4392.46,0,0,0
4492.54,0,0,0
4592.51,0,0,0
4692.54,0,0,0
4792.52,0,0,0
4892.56,0,0,0
4992.54,0,0,0
5092.52,0,0,0
5192.52,0,0,0
5293.44,0,0,0
5392.5,0,0,0
5492.5,0,0,0
5592.68,0,0,0
5692.91,0,0,0
5792.54,0,0,0
5892.48,0,0,0
5992.52,0,0,0
6092.52,0,0,0
6192.52,0,0,0
6292.52,0,0,0
6392.52,0,0,0
6492.51,0,0,0
6592.59,0,0,0
6692.53,0,0,0
6792.52,0,0,0
6892.9,0,0,0
6992.65,0,0,0
7092.51,0,0,0
7192.5,0,0,0
7292.47,0,0,0
7392.54,0,0,0
7492.52,0,0,0
7592.52,0,0,0
7692.51,0,0,0
7792.51,0,0,0
7892.53,0,0,0
7992.53,0,0,0
8092.52,0,0,0
8192.51,0,0,0
8292.55,0,0,0
8393.12,0,0,0
8492.53,0,0,0
8592.53,0,0,0
8692.55,0,0,0
8793.14,0,0,0
8892.48,0,0,0
8993.3,0,0,0
9092.46,0,0,0
9192.48,0,0,0
9292.46,0,0,0
9392.52,0,0,0
9492.47,0,0,0
9593.76,0,0,0
9692.53,0,0,0
9792.52,0,0,0
9892.52,0,0,0
9992.52,0,0,0
10092.5,0,0,0
10192.5,0,0,0
10292.5,0,0,0
10392.5,0,0,0
10492.5,0,0,0
10593.7,0,0,0
10692.7,0,0,0
10792.5,0,0,0
10892.5,0,0,0
10992.5,0,0,0
11092.5,0,0,0
11192.5,0,0,0
11292.6,0,0,0
11392.5,0,0,0
11492.5,0,0,0
11592.5,0,0,0
91.9651,2.15527,0.2,0.2
91.1853,2.18436,0.4,0.4
92.0245,2.22288,0.6,0.6
92.3795,2.24502,0.8,0.8
91.5231,2.27251,1,1
90.7668,2.30087,1,1
91.1273,2.30985,1,1
90.496,2.26653,1,1
90.2345,2.17772,1,1
89.9291,2.0649,1,1
89.8914,1.95927,1,1
89.8006,1.85562,1,1
88.5297,1.76038,1,1
90.1078,1.66399,1,1
89.9707,1.56593,1,1
89.9264,1.48144,1,0
89.2014,1.38519,0.2,0
89.2848,1.28882,0.2,0.2
89.542,1.22596,0.4,0.4
89.6188,1.21109,0.6,0
89.0925,1.21553,0.2,0.2
88.9287,1.20857,0.4,0.4
89.0579,1.21331,0.6,0
88.7084,1.21506,0.2,0.2
88.5687,1.20509,0.4,0.4
88.4186,1.20778,0.6,0
88.2658,1.21056,0.2,0.2
88.163,1.20102,0.4,0.4
87.8367,1.1982,0.6,0
87.7867,1.19344,0.2,0.2
88.091,1.19011,0.4,0.4
88.1918,1.18198,0.6,0
86.8544,1.18772,0.2,0.2
87.296,1.18218,0.4,0.4
86.8914,1.17427,0.6,0
86.8484,1.17821,0.2,0.2
86.2678,1.17441,0.4,0.4
85.7662,1.1686,0.6,0
86.3267,1.18135,0.2,0.2
86.1076,1.18595,0.4,0.4
86.6362,1.25028,0.6,0
85.3945,1.3542,0.2,0.2
85.9743,1.45023,0.4,0.4
85.594,1.56046,0.6,0.6
85.3966,1.67792,0.8,0.8
86.2045,1.78343,1,1
84.8585,1.85698,1,1
84.6929,1.82909,1,1
84.2753,1.72869,1,1
84.2414,1.58853,1,1
84.1888,1.46752,1,0
84.2142,1.33384,0.2,0
84.3654,1.21374,0.2,0.2
84.604,1.13306,0.4,0.4
83.7551,1.10579,0.6,0
83.2474,1.08694,0.2,0.2
83.6662,1.0578,0.4,0.4
83.3725,1.03519,0.6,0
82.3108,1.02691,0.2,0.2
81.799,1.01457,0.4,0.4
82.8403,1.03759,0.6,0
82.3482,1.09212,0.2,0.2
82.4098,1.13211,0.4,0.4
82.4027,1.17653,0.6,0
82.3666,1.20877,0.2,0.2
82.264,1.2373,0.4,0.4
81.3275,1.25388,0.6,0
81.7672,1.23619,0.2,0.2
81.4903,1.19087,0.4,0.4
81.0329,1.18422,0.6,0
81.3982,1.16885,0.2,0.2
81.1104,1.19335,0.4,0.4
81.4288,1.24672,0.6,0
80.6807,1.34695,0.2,0.2
