Network Latency, State, Optimal Action, Shielded Action 
341.155,0,0,0
441.195,0,0,0
541.164,0,0,0
641.161,0,0,0
741.12,0,0,0
841.145,0,0,0
941.182,0,0,0
1041.12,0,0,0
1141.1,0,0,0
1241.08,0,0,0
1341.11,0,0,0
1441.18,0,0,0
1541.17,0,0,0
1641.14,0,0,0
1741.34,0,0,0
1841.14,0,0,0
1941.14,0,0,0
2041.2,0,0,0
2141.18,0,0,0
2241.14,0,0,0
2341.16,0,0,0
2441.14,0,0,0
2541.16,0,0,0
2641.14,0,0,0
2741.14,0,0,0
2841.14,0,0,0
2941.52,0,0,0
3041.14,0,0,0
3142.48,0,0,0
3241.15,0,0,0
3341.15,0,0,0
3441.14,0,0,0
3541.15,0,0,0
3641.14,0,0,0
3741.14,0,0,0
3841.14,0,0,0
3941.46,0,0,0
4041.14,0,0,0
4141.5,0,0,0
4241.15,0,0,0
4341.53,0,0,0
4441.14,0,0,0
4541.1,0,0,0
4641.14,0,0,0
4741.56,0,0,0
4841.14,0,0,0
4941.51,0,0,0
5041.14,0,0,0
5141.53,0,0,0
5241.14,0,0,0
5341.52,0,0,0
5441.19,0,0,0
5541.15,0,0,0
5641.18,0,0,0
5741.21,0,0,0
5841.15,0,0,0
5941.14,0,0,0
6041.14,0,0,0
6141.14,0,0,0
6241.14,0,0,0
6341.15,0,0,0
6441.14,0,0,0
6541.14,0,0,0
6641.14,0,0,0
6741.15,0,0,0
6841.14,0,0,0
6941.14,0,0,0
7041.16,0,0,0
7141.14,0,0,0
7241.15,0,0,0
7341.15,0,0,0
7441.14,0,0,0
7541.15,0,0,0
7641.11,0,0,0
7741.15,0,0,0
7841.14,0,0,0
7941.11,0,0,0
8041.16,0,0,0
8141.16,0,0,0
8241.14,0,0,0
8341.53,0,0,0
8441.14,0,0,0
8541.53,0,0,0
8641.54,0,0,0
8741.53,0,0,0
8841.49,0,0,0
8941.15,0,0,0
9041.49,0,0,0
9141.14,0,0,0
9241.48,0,0,0
9341.54,0,0,0
9441.14,0,0,0
9541.56,0,0,0
9641.5,0,0,0
9741.54,0,0,0
9841.55,0,0,0
9941.15,0,0,0
10041.2,0,0,0
10141.2,0,0,0
10241.6,0,0,0
10341.5,0,0,0
10441.1,0,0,0
10541.2,0,0,0
10641.2,0,0,0
10741.1,0,0,0
78.9798,3.41412,0.2,0.2
78.2242,3.41386,0.4,0.4
79.5415,3.41986,0.6,0.6
77.3761,3.42044,0.8,0.8
77.3414,3.41473,1,1
77.8785,3.41912,1,1
77.9952,3.42012,1,1
79.5591,3.33714,1,1
79.5614,3.1629,1,1
76.6376,2.998,1,1
76.4886,2.84809,1,1
76.4258,2.71816,1,1
78.9517,2.6066,1,1
76.0166,2.48823,1,1
75.25,2.38627,1,1
76.5917,2.27793,1,1
76.1281,2.16841,1,1
76.4135,2.05992,1,1
76.0468,1.95046,1,1
75.8624,1.85897,1,1
75.8097,1.76651,1,1
74.2628,1.68902,1,1
75.6681,1.71735,1,1
75.5854,1.60924,1,1
75.7599,1.50793,1,1
75.649,1.387,1,0
75.9962,1.31697,0.2,0
75.5198,7.25042,0.2,0.2
75.8155,7.09072,0.4,0.4
75.3232,7.15345,0.6,0.6
74.8315,7.14836,0.8,0.8
75.0686,7.10424,1,1
75.2097,7.04349,1,1
74.967,6.96451,1,1
75.0274,6.87255,1,1
74.8279,6.77358,1,1
74.7629,6.65762,1,1
74.6835,6.55037,1,1
74.627,6.46069,1,1
74.5208,6.35443,1,1
74.2582,6.26675,1,1
74.6315,6.15799,1,1
73.6542,1.24253,1,0
74.2542,0.967389,0.2,0
73.3054,0.921955,0.2,0
74.0732,0.935747,0.2,0
73.4564,0.993727,0.2,0
73.9603,1.05139,0.2,0.2
73.8157,1.12514,0.4,0.4
74.0691,1.1866,0.6,0
73.7082,1.26947,0.2,0.2
73.5402,1.33498,0.4,0.4
73.4398,1.41294,0.6,0
73.3119,1.46,0.2,0.2
73.215,1.45085,0.4,0.4
73.0014,1.45159,0.6,0
