Network Latency, State, Optimal Action, Shielded Action 
339.221,0,0,0
439.221,0,0,0
539.262,0,0,0
639.326,0,0,0
739.307,0,0,0
840.683,0,0,0
939.259,0,0,0
1039.27,0,0,0
1139.26,0,0,0
1239.8,0,0,0
1339.67,0,0,0
1439.61,0,0,0
1540.09,0,0,0
1639.66,0,0,0
1739.62,0,0,0
1839.25,0,0,0
1939.24,0,0,0
2039.25,0,0,0
2139.24,0,0,0
2239.27,0,0,0
2339.24,0,0,0
2439.31,0,0,0
2539.24,0,0,0
2639.25,0,0,0
2739.24,0,0,0
2839.26,0,0,0
2939.25,0,0,0
3039.26,0,0,0
3139.24,0,0,0
3239.25,0,0,0
3339.26,0,0,0
3439.24,0,0,0
3539.31,0,0,0
3639.24,0,0,0
3739.24,0,0,0
3839.25,0,0,0
3939.24,0,0,0
4039.24,0,0,0
4139.41,0,0,0
4239.25,0,0,0
4339.38,0,0,0
4439.26,0,0,0
4539.27,0,0,0
4639.27,0,0,0
4739.26,0,0,0
4839.26,0,0,0
4939.26,0,0,0
5039.23,0,0,0
5139.3,0,0,0
5239.32,0,0,0
5339.23,0,0,0
5439.37,0,0,0
5539.28,0,0,0
5639.26,0,0,0
5739.24,0,0,0
5839.25,0,0,0
5939.25,0,0,0
6039.28,0,0,0
6139.27,0,0,0
6239.24,0,0,0
6339.25,0,0,0
6439.24,0,0,0
6539.25,0,0,0
6639.25,0,0,0
6739.24,0,0,0
6839.25,0,0,0
6939.29,0,0,0
7039.23,0,0,0
7139.26,0,0,0
7239.24,0,0,0
7339.25,0,0,0
7439.47,0,0,0
7539.24,0,0,0
7639.25,0,0,0
7739.24,0,0,0
7839.25,0,0,0
7939.24,0,0,0
8039.24,0,0,0
8139.24,0,0,0
8239.32,0,0,0
8339.24,0,0,0
8439.29,0,0,0
8539.25,0,0,0
8639.36,0,0,0
159.915,2.02069,0.2,0.2
162.087,2.0123,0.4,0.4
158.878,2.01865,0.6,0.6
159.662,2.0123,0.8,0.8
157.834,2.02105,1,1
156.397,2.02228,1,1
157.406,2.01929,1,1
157.771,1.96038,1,0
157.649,1.86953,0.2,0.2
156.993,1.75039,0.4,0.4
157.122,1.63606,0.6,0.6
157.235,1.577,0.8,0.8
156.464,1.53458,1,1
156.497,1.48468,1,0
156.666,1.39939,0.2,0
156.788,1.30013,0.2,0
156.447,1.19542,0.2,0
156.313,1.1603,0.2,0
156.538,1.18648,0.2,0
156.076,1.27119,0.2,0
155.821,1.37632,0.2,0
156.217,1.47658,0.2,0
155.949,1.51608,0.2,0.2
155.37,1.54009,0.4,0.4
155.534,1.54952,0.6,0.6
156.011,1.55525,0.8,0.8
157.729,1.53878,1,1
105.881,1.52716,1,0
155.738,1.5053,0.2,0.2
154.969,1.41401,0.4,0
154.496,1.31444,0.2,0
154.364,1.25452,0.2,0
154.3,1.22695,0.2,0
154.108,1.222,0.2,0
