Network Latency, State, Optimal Action, Shielded Action 
329.705,0,0,0
430.189,0,0,0
529.801,0,0,0
629.727,0,0,0
729.779,0,0,0
829.745,0,0,0
929.725,0,0,0
1029.68,0,0,0
1129.65,0,0,0
1229.62,0,0,0
1329.72,0,0,0
1429.64,0,0,0
1529.65,0,0,0
1629.68,0,0,0
1729.72,0,0,0
1829.66,0,0,0
1929.67,0,0,0
2029.78,0,0,0
2129.73,0,0,0
2229.66,0,0,0
2329.68,0,0,0
2429.65,0,0,0
2529.76,0,0,0
2629.71,0,0,0
2729.66,0,0,0
2829.67,0,0,0
2929.77,0,0,0
3029.81,0,0,0
3129.68,0,0,0
3229.64,0,0,0
3329.79,0,0,0
3429.68,0,0,0
3529.7,0,0,0
3629.67,0,0,0
3729.74,0,0,0
3829.67,0,0,0
3929.7,0,0,0
4029.66,0,0,0
4129.64,0,0,0
4229.63,0,0,0
4329.64,0,0,0
4429.66,0,0,0
4529.72,0,0,0
4629.7,0,0,0
4729.92,0,0,0
4830.26,0,0,0
4929.68,0,0,0
5029.67,0,0,0
5130.11,0,0,0
5229.71,0,0,0
5329.65,0,0,0
5429.69,0,0,0
5529.7,0,0,0
5629.72,0,0,0
5729.64,0,0,0
5829.71,0,0,0
5929.69,0,0,0
6029.59,0,0,0
6129.71,0,0,0
6229.75,0,0,0
6329.72,0,0,0
6429.66,0,0,0
6529.67,0,0,0
6629.67,0,0,0
6729.64,0,0,0
6829.67,0,0,0
6929.8,0,0,0
7029.79,0,0,0
7129.64,0,0,0
7229.83,0,0,0
7329.88,0,0,0
7429.67,0,0,0
7529.67,0,0,0
7629.67,0,0,0
7729.73,0,0,0
7829.66,0,0,0
7929.68,0,0,0
8029.67,0,0,0
8129.68,0,0,0
8229.65,0,0,0
8329.67,0,0,0
8429.71,0,0,0
8529.68,0,0,0
8629.75,0,0,0
8729.64,0,0,0
8829.68,0,0,0
8929.64,0,0,0
9029.68,0,0,0
9129.63,0,0,0
9229.66,0,0,0
9329.94,0,0,0
9429.67,0,0,0
9529.67,0,0,0
9629.85,0,0,0
9729.65,0,0,0
9829.66,0,0,0
9929.64,0,0,0
10029.7,0,0,0
10129.7,0,0,0
10229.7,0,0,0
10329.7,0,0,0
10430.2,0,0,0
10529.7,0,0,0
10629.7,0,0,0
99.7038,2.30117,0.2,0.2
101.247,2.30316,0.4,0.4
98.7159,2.30168,0.6,0.6
99.3494,2.2967,0.8,0.8
99.7835,2.30486,1,1
100.247,2.35672,1,1
101.733,2.36673,1,1
99.0925,2.30468,1,1
99.7688,2.19694,1,1
99.022,2.07072,1,1
