Network Latency, State, Optimal Action, Shielded Action 
318.794,0,0,0
418.781,0,0,0
518.787,0,0,0
618.81,0,0,0
718.752,0,0,0
818.773,0,0,0
918.783,0,0,0
1018.76,0,0,0
1118.8,0,0,0
1218.75,0,0,0
1319.77,0,0,0
1418.76,0,0,0
1518.72,0,0,0
1618.76,0,0,0
1718.75,0,0,0
1818.76,0,0,0
1918.8,0,0,0
2018.83,0,0,0
2118.79,0,0,0
2218.76,0,0,0
2318.76,0,0,0
2418.76,0,0,0
2518.76,0,0,0
2618.76,0,0,0
2718.76,0,0,0
2818.76,0,0,0
2918.78,0,0,0
3018.77,0,0,0
3118.76,0,0,0
3218.76,0,0,0
3318.75,0,0,0
3418.76,0,0,0
3518.76,0,0,0
3618.77,0,0,0
3718.76,0,0,0
3818.76,0,0,0
3918.76,0,0,0
4018.76,0,0,0
4118.76,0,0,0
4218.76,0,0,0
4318.76,0,0,0
4418.77,0,0,0
4518.76,0,0,0
4619.52,0,0,0
4719.34,0,0,0
4819.51,0,0,0
4918.76,0,0,0
5019.52,0,0,0
5118.76,0,0,0
5218.76,0,0,0
5318.77,0,0,0
5418.75,0,0,0
5518.76,0,0,0
5618.77,0,0,0
5718.76,0,0,0
5818.76,0,0,0
5919.36,0,0,0
6019.49,0,0,0
6119.32,0,0,0
6219.49,0,0,0
6320.23,0,0,0
6418.83,0,0,0
6518.71,0,0,0
6620.25,0,0,0
6718.76,0,0,0
6818.77,0,0,0
6918.76,0,0,0
7018.78,0,0,0
7119.32,0,0,0
7219.5,0,0,0
7319.34,0,0,0
7419.42,0,0,0
7519.35,0,0,0
7618.78,0,0,0
7718.76,0,0,0
7818.81,0,0,0
7918.76,0,0,0
8018.84,0,0,0
8118.76,0,0,0
8218.76,0,0,0
8318.76,0,0,0
8418.75,0,0,0
8518.76,0,0,0
8618.76,0,0,0
8718.76,0,0,0
72.8805,0.965036,0.2,0
73.5627,0.97265,0.2,0
74.4368,0.963417,0.2,0
74.9241,0.966315,0.2,0
72.4859,0.993877,0.2,0
72.2548,1.0179,0.2,0.2
72.2331,1.04575,0.4,0.4
71.8165,1.06882,0.6,0
71.7745,1.09311,0.2,0.2
71.89,1.12007,0.4,0.4
76.4645,1.13495,0.6,0
71.1682,1.15331,0.2,0.2
71.3028,1.17847,0.4,0.4
70.8204,1.19823,0.6,0
69.9721,1.22883,0.2,0.2
70.253,1.24925,0.4,0.4
70.3285,1.2762,0.6,0
69.9681,1.29883,0.2,0.2
69.9747,1.31106,0.4,0.4
70.0525,1.34624,0.6,0
69.7866,1.35723,0.2,0.2
69.6242,1.35647,0.4,0.4
69.5938,1.35991,0.6,0
69.5509,1.36232,0.2,0.2
69.208,1.36033,0.4,0.4
69.299,1.35274,0.6,0
69.0469,1.35872,0.2,0.2
67.7427,1.34994,0.4,0.4
68.5297,1.35175,0.6,0
68.9889,1.37267,0.2,0.2
68.7448,1.40219,0.4,0.4
68.4189,1.41882,0.6,0
69.0263,1.4413,0.2,0.2
67.7889,1.45819,0.4,0.4
68.4153,1.47287,0.6,0
67.2939,1.46789,0.2,0.2
67.9157,1.46119,0.4,0.4
67.038,1.46373,0.6,0
67.6705,1.45774,0.2,0.2
67.4228,1.46515,0.4,0.4
67.4174,1.49068,0.6,0
66.0795,1.5316,0.2,0.2
67.2106,1.56763,0.4,0.4
66.41,1.61937,0.6,0.6
66.9948,1.65758,0.8,0.8
65.8686,1.67295,1,1
66.9261,1.65901,1,1
66.3872,1.62869,1,1
65.8259,1.58014,1,1
65.4703,1.52901,1,1
66.1976,1.48343,1,0
66.1874,1.43388,0.2,0
66.2962,1.39031,0.2,0.2
65.1971,1.39825,0.4,0.4
65.6585,1.44779,0.6,0
65.0156,1.48541,0.2,0.2
64.9374,1.50231,0.4,0.4
64.5723,1.5212,0.6,0.6
64.437,1.50629,0.8,0.8
64.271,1.60878,1,1
64.9109,1.5427,1,1
64.1752,1.46233,1,0
64.0267,1.35442,0.2,0
63.8398,1.08058,0.2,0.2
64.7102,1.03929,0.4,0.4
64.0603,1.06389,0.6,0
64.2949,1.10237,0.2,0.2
63.5907,1.16662,0.4,0.4
63.2997,1.21307,0.6,0
63.7867,1.24631,0.2,0.2
62.8506,1.27441,0.4,0.4
63.3718,1.28374,0.6,0
62.6419,1.333,0.2,0.2
62.159,1.39906,0.4,0.4
64.5902,1.49263,0.6,0
63.1742,1.54937,0.2,0.2
62.3054,1.55537,0.4,0.4
63.3692,1.55514,0.6,0.6
63.5434,1.54256,0.8,0.8
64.8221,1.48512,1,0
62.1289,1.40339,0.2,0
62.853,1.32341,0.2,0.2
66.1994,1.29849,0.4,0.4
63.3086,1.29514,0.6,0
63.1503,1.27247,0.2,0.2
65.0792,1.24129,0.4,0.4
60.4296,1.23507,0.6,0
63.5314,1.20549,0.2,0.2
61.8368,1.19231,0.4,0.4
62.6135,1.17964,0.6,0
61.0352,1.2019,0.2,0.2
61.5576,1.25928,0.4,0.4
60.2616,1.34601,0.6,0
61.7018,1.40528,0.2,0.2
61.1256,1.4656,0.4,0.4
60.5437,1.5246,0.6,0.6
59.8817,1.55572,0.8,0.8
60.4987,1.56346,1,1
60.0049,1.54889,1,1
60.2531,1.51553,1,1
59.8419,1.46624,1,0
57.7382,1.40739,0.2,0
59.6379,1.35444,0.2,0.2
59.5995,1.3601,0.4,0.4
60.5472,1.37989,0.6,0
59.643,1.40839,0.2,0.2
59.5251,1.43736,0.4,0.4
60.5196,1.4774,0.6,0
59.3829,1.51116,0.2,0.2
59.4341,1.5379,0.4,0.4
60.2065,1.57372,0.6,0.6
59.8174,1.60684,0.8,0.8
58.0798,1.60793,1,1
60.0631,1.58356,1,1
59.5189,1.50439,1,1
59.7699,1.40494,1,0
59.9547,1.29494,0.2,0
59.5859,1.18778,0.2,0.2
59.6448,1.14488,0.4,0.4
59.7174,1.12966,0.6,0
59.609,1.11279,0.2,0.2
58.6925,1.07795,0.4,0.4
59.7126,1.06888,0.6,0
58.7582,1.05316,0.2,0.2
59.3643,1.02995,0.4,0.4
59.5375,1.04195,0.6,0
60.1066,1.06979,0.2,0.2
58.8041,1.10299,0.4,0.4
59.4449,1.14395,0.6,0
59.4299,1.16499,0.2,0.2
59.4313,1.18994,0.4,0.4
59.2813,1.20587,0.6,0
59.264,1.23777,0.2,0.2
59.4425,1.27699,0.4,0.4
59.3686,1.30046,0.6,0
58.0933,1.30098,0.2,0.2
58.2751,1.29862,0.4,0.4
59.0037,1.31686,0.6,0
61.9406,1.31986,0.2,0.2
62.026,1.32775,0.4,0.4
63.1736,-0.118361,0,0
62.1909,-0.156465,0,0
61.8367,-0.151353,0,0
59.3262,-0.155552,0,0
59.058,-0.150975,0,0
60.6277,-0.146283,0,0
58.1887,-0.154862,0,0
57.8133,-0.144992,0,0
57.1091,-0.167754,0,0
57.8607,-0.158099,0,0
57.6991,-0.149927,0,0
57.6284,-0.153958,0,0
57.6355,-0.151615,0,0
57.1927,-0.156434,0,0
57.3483,-0.161367,0,0
57.0585,-0.153203,0,0
56.5282,-0.152149,0,0
56.7899,-0.151328,0,0
56.7433,-0.153369,0,0
56.6327,-0.154149,0,0
56.4935,-0.151895,0,0
56.3863,-0.153986,0,0
56.3798,-0.155943,0,0
56.4557,-0.154725,0,0
56.2954,-0.156789,0,0
55.9471,-0.152355,0,0
55.4038,-0.18276,0,0
55.6508,-0.147984,0,0
55.6148,-0.156942,0,0
55.3565,-0.156151,0,0
55.4779,-0.154406,0,0
55.2169,-0.158606,0,0
55.4485,-0.151052,0,0
54.8131,-0.160813,0,0
54.5589,-0.155826,0,0
54.495,-0.153885,0,0
54.8349,-0.151072,0,0
54.5111,-0.156789,0,0
55.3122,-0.150464,0,0
54.532,-0.156434,0,0
54.2444,-0.157248,0,0
53.9028,-0.155943,0,0
54.3876,-0.15561,0,0
54.2334,-0.15021,0,0
54.0903,-0.154191,0,0
54.0455,-0.150773,0,0
53.9093,-0.151537,0,0
53.6046,-0.168118,0,0
